src,winner,loser
"Слушая, как люди делятся своими личными, семейными и организационными историями, мы получили ценное представление о прошлом и о некоторых личностях, которые оказали положительное и негативное влияние на культуру организации.","Listening to people share their personal, family, and organizational stories, we gained valuable insight into the past and about some individuals who had a positive and negative impact on the organization's culture.","Listening to people share their personal, family and organisational stories, we gained a valuable insight into the past and some of the individuals who have had a positive and negative impact on the culture of the organisation."
"Хотя понимание личной истории и не подразумевает понимание культуры, оно, по крайней мере, помогает людям получить представление об их месте в истории организации.","While understanding personal history doesn't imply an understanding of culture, it at least helps people to gain an insight into their place in the organization's history.","While understanding personal history does not necessarily mean understanding culture, it at least helps people get a sense of their place in the organization's history."
"Оценивая успехи и понимая неудачи, отдельные лица и все участвующие глубже открывают для себя ценности, миссию и движущие силы организации.","Evaluating successes and understanding failures, individuals and all participants discover more deeply the values, mission, and driving forces of the organization.","Evaluating successes and failures, individuals and the whole organization can come to a deeper understanding of the organization's values, mission, and driving forces."
В данном случае вспоминание предыдущих примеров предпринимательского поведения и достигнутых в результате этого успехов помогло людям стать открытыми новым изменениям и новому направлению деятельности поместной церкви.,"In this case, recalling previous examples of entrepreneurial behaviour and the successes that resulted from them helped people to become open to new changes and a new direction for the local church.","In this case, recalling past instances of entrepreneurial behavior and the successes achieved as a result helped people become open to new changes and the new direction of activity of the local church."
"Подобные успешные истории уменьшали страх перемен, одновременно создавая положительную предрасположенность к переменам в будущем.",Similar success stories reduced the fear of change while simultaneously creating a positive predisposition towards future changes.,"Success stories like these helped to reduce the fear of change, while simultaneously creating a positive disposition to change in the future."
"Модели конвергентного мышления – это способы решения проблем, которые объединяют различные идеи или сферы для того, чтобы найти их решение.",Convergent thinking models are problem-solving methods that bring together different ideas or areas to find a solution.,Convergent thinking models are ways of solving problems that combine different ideas or areas to find a solution.
"В центре подобного образа мышления находятся скорость, логика и точность, а также идентификация фактов, повторное применение существующих методов и сбор информации.","At the core of such a mindset are speed, logic, and accuracy, as well as the identification of facts, the repeated application of existing methods, and the gathering of information.","At the center of this way of thinking are speed, logic, and accuracy, as well as the identification of facts, repetition of existing methods, and gathering information."
"Самый важный фактор этого образа мышления заключается в том, что есть только один правильный ответ. Вам нужно думать, что есть только два варианта ответа, а именно: правильный или неправильный.","The most important factor of this mindset is that there is only one right answer. You need to think that there are only two options, either right or wrong.","The most important factor of this mindset is that there is only one correct answer. You need to think that there are only two possible answers, namely: correct or incorrect."
Этот тип мышления связан с определенными научными теориями и стандартными процедурами.,This type of thinking is associated with certain scientific theories and standard procedures.,This type of thinking is associated with certain scientific theories and standard procedures.
"Люди с таким типом мышления имеют логическое мышление, могут запоминать шаблоны, решать проблемы и работать над научными тестами.","People with this type of thinking have logical reasoning, can remember patterns, solve problems, and work on scientific tests.","People with this type of thinking have logical thinking, can remember patterns, solve problems and work on scientific tests."
Люди намного превосходят остальные виды в способности читать чужие мысли.,Humans are far superior to other species in their ability to read other people's minds.,People far surpass other species in the ability to read others' minds.
"Это означает, что мы можем успешно предсказать, что другие люди ощущают, намереваются сделать, во что верят, что знают или желают.","This means that we can successfully predict what other people feel, intend to do, believe in, know, or desire.","This means that we can successfully predict what other people feel, intend to do, believe, know or want."
Среди этих способностей ключевое значение имеет понимание намерений других. Оно позволяет нам разрешать возможные неясности физических действий.,"Among these abilities, the ability to understand the intentions of others is key. It allows us to resolve possible ambiguities in physical actions.","Among these abilities, understanding the intentions of others is of key importance. It allows us to resolve potential ambiguities of physical actions."
"Например, если бы вы увидели, что некто разбивает окно машины, то, вероятно, предположили бы, что он пытается украсть чей-то автомобиль.","For example, if you saw someone breaking a car window, you would probably assume they were trying to steal the car.","For example, if you saw someone breaking a car window, you would probably assume that they are trying to steal someone's car."
"Он должен быть оценен иначе если он потерял ключи от своей машины и машина, которую он пытался взломать была его собственной.",He should be judged differently if he lost the keys to his car and the car he was trying to break into was his own.,He should be judged differently if he lost the keys to his car and the car he was trying to break into was his own.
"МРТ основано на физическом явлении, которое называют ядерным магнитным резонансом (ЯМР). Это явление было открыто в 1930-х годах учеными Феликсом Блохом (Felix Bloch)из Стэнфордского университета и Эдвардом Парселлом (Edward Purcell) из Гарвардского университета.",MRI is based on a physical phenomenon called nuclear magnetic resonance (NMR). This phenomenon was discovered in the 1930s by scientists Felix Bloch from Stanford University and Edward Purcell from Harvard University.,MRI is based on a physical phenomenon called nuclear magnetic resonance (NMR). This phenomenon was discovered in the 1930s by scientists Felix Bloch of Stanford University and Edward Purcell of Harvard University.
В этом резонансе магнитное поле и радиоволны заставляют атомы издавать мельчайшие радиосигналы.,"In this resonance, the magnetic field and radio waves cause atoms to emit the tiniest radio signals.","In this resonance, the magnetic field and radio waves cause the atoms to emit the tiniest radio signals."
"В 1970 году Реймонд Дамадьян, врач и учёный-исследователь, открыл основы использования магнитно-резонансной томографии в качестве инструмента медицинской диагностики.","In 1970, Raymond Damadian, a physician and research scientist, discovered the principles of using magnetic resonance imaging as a tool for medical diagnostics.","In 1970, Raymond Damadian, a physician and researcher, discovered the basis of using magnetic resonance imaging as a medical diagnostic tool."
"Через четыре года был выдан патент, ставший первым в мире патентом в области МРТ.","Four years later, a patent was issued that became the first patent in the world in the field of MRI.","Four years later, a patent was issued, which became the first patent in the world for MRI."
"В 1977 году доктор Дамадьян завершил создание первого аппарата МРТ для  сканирования всего тела, который он назвал ""Неукротимый"".","In 1977, Dr. Damadian completed the creation of the first MRI machine for whole-body scanning, which he called ""Indomitable"".","In 1977, Dr. Damadian completed the creation of the first MRI scanner to scan the entire body, which he called the ""Indomitable."""
Асинхронная связь даёт время для размышлений и реагирования на других.,Asynchronous communication gives time for reflection and responding to others.,Asynchronous communication provides time for reflection and response to others.
"Это позволяет учащимся работать в собственном ритме, а также контролировать ритм получения учебной информации.","This allows students to work at their own pace, as well as control the pace at which they receive educational information.",This allows students to work at their own pace and also to control the pace of receiving educational information.
"Также существует меньше временных ограничений с возможностью гибкого рабочего времени. (Бремер, 1998 год)","There are also fewer time constraints with the possibility of a flexible work schedule. (Bremer, 1998)","There are also fewer time restrictions with the possibility of flexible working hours. (Bremer, 1998)"
Использование Интернета и Всемирной паутины позволяет учащимся иметь доступ к информации в любой момент.,The use of the Internet and the World Wide Web allows students to access information at any time.,The use of the Internet and the World Wide Web allows students to have access to information at any moment.
"Студенты также могут задавать вопросы преподавателям в любое время суток и рассчитывать на достаточно быстрые ответы, не дожидаясь следующей личной встречи.","Students can also ask questions to their teachers at any time of the day and expect fairly quick responses, without having to wait for the next face-to-face meeting.",Students can also ask teachers questions at any time of the day and expect fairly quick responses without waiting for the next in-person meeting.
"Постмодернистский подход к обучению предлагает свободу от абсолютов, т.е. не существует одного идеального способа обучения.","The postmodernist approach to education offers freedom from absolutes, i.e. there is no single ideal way of learning.","A postmodern approach to teaching offers freedom from absolutes, meaning there is no one ideal way to teach."
"В действительности не существует ни одной вещи, достойной изучения. Обучение происходит в ходе взаимодействия учащегося и предоставляемых знаний.","In reality, there is not a single thing that is worthy of study. Learning occurs through the interaction of the student and the knowledge provided.",There is no one thing that is worth studying. Learning happens through the interaction of the student and the knowledge provided.
"Наш текущий опыт работы с телевизионными шоу информационно-обучающего характера, а также шоу формата ""сделай сам"" наглядно иллюстрирует этот момент.","Our current experience of working with factual-educational TV shows, as well as do-it-yourself shows, vividly illustrates this point.","Our current experience with educational television shows, as well as DIY format shows, vividly illustrates this point."
"Многие из нас обнаруживают, что смотрят шоу на телевидении, которое рассказывает нам о процессах или приключениях, в которых мы никогда не примем участия и не применим знания оттуда.",Many of us find that we watch television shows that tell us about processes or adventures that we will never participate in or apply the knowledge from.,Many of us find that we watch TV shows that tell us about processes or adventures we will never take part in and never apply knowledge from there.
"Мы никогда не станем ремонтировать автомобиль, строить фонтан на заднем дворе, не поедем в Перу исследовать древние руины и не станем делать ремонт в доме наших соседей.","We will never fix a car, build a fountain in the backyard, go to Peru to explore ancient ruins, or do home renovations for our neighbors.","We will never repair a car, build a fountain in the backyard, go to Peru to study ancient ruins, or renovate the house of our neighbors."
"Благодаря  связи по подводному оптиковолоконному кабелю с Европой и широкополосному спутнику, Гренландия имеет хорошую связь, 93% населения имеют доступ в интернет.","Thanks to a submarine optical fibre cable connection to Europe and a wideband satellite, Greenland has good telecommunications, with 93% of the population having access to the Internet.","Thanks to the underwater fiber-optic cable connection with Europe and the broadband satellite, Greenland has good communication, 93% of the population have access to the internet."
"В вашем отеле или у ваших хозяев (если вы остановились в гостевом или частном доме), скорее всего, будет Wi-Fi или компьютер с доступом в Интернет. Также во всех населённых пунктах есть интернет-кафе или какое-либо другое место с общедоступным Wi-Fi.",Your hotel or your hosts (if you are staying in a guesthouse or private home) will probably have Wi-Fi or a computer with internet access. There are also internet cafes or other places with public Wi-Fi in all towns.,"In your hotel or with your hosts (if you are staying in a guesthouse or private home), there is likely to be Wi-Fi or a computer with Internet access. Also, in all populated areas, there are internet cafes or some other place with public Wi-Fi."
"Выше уже упоминалось, что, хотя слово ""эскимос"" все еще приемлемо в США, многие неамериканские арктические народы, особенно в Канаде, считают его оскорбительным.","As mentioned earlier, the word ""Eskimo"" is still acceptable in the United States, but many non-American Arctic peoples, especially in Canada, find it offensive.","As mentioned above, although the word ""Eskimo"" is still acceptable in the USA, many non-American Arctic peoples, especially in Canada, consider it offensive."
"Хотя это слово и можно услышать из уст коренных жителей Гренландии, иностранцам следует воздержаться от его употребления.","Although this word can be heard from the mouths of native Greenlanders, foreigners should refrain from using it.","Although this word can be heard from the lips of Greenlandic natives, foreigners should refrain from using it."
"Коренные жители Гренландии называют себя инуитами в Канаде и калааллитами (ед.ч. — Kalaalleq, мн. ч. — Kalaallit), то есть собственно гренландцами, в Гренландии.","The indigenous people of Greenland call themselves Inuit in Canada and Kalaallit (singular Kalaallit, plural Kalaallit) in Greenland.","The indigenous people of Greenland call themselves Inuit in Canada and Kalaallit (singular: Kalaalleq, plural: Kalaallit), which means Greenlanders proper, in Greenland."
"Преступность и неприязнь по отношению к иностранцам практически неведомы в Гренландии. Даже в городах не существует ""опасных мест"".","Crime and antipathy towards foreigners are virtually unknown in Greenland. Even in the cities, there are no ""dangerous places"".","Crime and hostility towards foreigners are virtually unknown in Greenland. There are no ""dangerous places"" even in cities."
"Единственная настоящая опасность, с которой может столкнуться человек без подготовки, – это холодная погода.",The only real danger that an unprepared person may encounter is cold weather.,The only real danger that an unprepared person can face is cold weather.
"Если вы посещаете Гренландию в холодное время года (учитывая, что чем севернее вы движетесь, тем становится холоднее), необходимо взять с собой достаточно теплую одежду.","If you visit Greenland in the winter (bearing in mind that the further north you go, the colder it gets), you will need to bring enough warm clothing.","If you are visiting Greenland in the cold season (considering that the further north you go, the colder it gets), it is necessary to bring enough warm clothes with you."
Очень длинные летние дни могут привести к проблемам с получением достаточного сна и связанным с этим проблемам со здоровьем.,Very long summer days can lead to problems with getting enough sleep and related health issues.,Very long summer days can lead to problems getting enough sleep and the health problems associated with that.
"В течении лета остерегайтесь также северных комаров. Хотя они не переносят никаких заболеваний, они могут быть назойливыми.","During the summer, watch out for northern mosquitoes. Although they do not carry any diseases, they can be annoying.","During the summer, also beware of northern mosquitoes. Although they do not transmit any diseases, they can be bothersome."
"Хотя экономика Сан-Франциско и связана с его статусом достопримечательности мирового класса, она представляет собой многоотраслевую структуру.","Although San Francisco's economy is linked to its status as a world-class tourist destination, it is a multi-faceted structure.","Although the economy of San Francisco is associated with its status as a world-class attraction, it represents a multi-sector structure."
"Среди крупнейших секторов занятости — профессиональные услуги, правительственные учреждения, финансы, торговля и туризм.","Among the largest employment sectors are professional services, government institutions, finance, commerce, and tourism.","The largest employment sectors are professional services, government agencies, finance, retail and tourism."
"Частое изображение в музыкальных произведениях, фильмах, литературе и популярной культуре принесло городу и его достопримечательностям всемирную известность.","The city's frequent appearance in musical works, films, literature, and popular culture has brought worldwide fame to the city and its landmarks.","Frequent depiction in musical works, films, literature, and popular culture has brought the city and its landmarks worldwide fame."
"Сан-Франциско развил крупную туристическую инфраструктуру с большим количеством отелей, ресторанов и первоклассных конференц-центров.","San Francisco has developed a large tourist infrastructure with a great number of hotels, restaurants, and first-class conference centers.","San Francisco has developed a large tourist infrastructure with a large number of hotels, restaurants and first-class conference centers."
"Сан-Франциско также является одним из лучших мест в стране, где представлены кухни других азиатских стран: корейская, тайская, индийская и японская.","San Francisco is also one of the best places in the country to sample the cuisines of other Asian countries: Korean, Thai, Indian and Japanese.","San Francisco is also one of the best places in the country where cuisines from other Asian countries are presented: Korean, Thai, Indian, and Japanese."
Путешествие в Мир Уолта Диснея является главным местом паломничества для многих американских семей.,A trip to Walt Disney World is a prime pilgrimage destination for many American families.,A trip to Walt Disney World is a pilgrimage for many American families.
"""Стандартное"" посещение парка включает в себя приземление в Международном аэропорту Орландо, поездку на автобусе до отеля Disney, расположенного на территории, пребывание там около недели, не покидая территорию Disney, и возвращение домой.","A ""standard"" visit to the park includes landing at Orlando International Airport, taking a bus to the Disney resort, staying there for about a week without leaving the resort, and returning home.","A ""standard"" park visit includes landing at Orlando International Airport, a bus ride to a Disney hotel located on the premises, a stay there for about a week without leaving the Disney property, and returning home."
"Есть бесчисленное множество возможных вариантов, но большинство людей, говоря о посещении ""Дисней Уорлда"", все же подразумевают именно это.","There are endless possibilities, but when most people talk about visiting ""Disney World,"" they mean this.","There are countless possible options, but most people, when talking about visiting ""Disney World"", are indeed referring to just that."
"Многие билеты, которые продаются в Интернете через такие аукционные сайты, как eBay или Craigslist, являются частично использованными многодневными билетами, которые позволяют посещать несколько парков в один день.",Many of the tickets sold online through sites like eBay or Craigslist are partially used multi-day passes that allow access to multiple parks in one day.,"Many tickets that are sold online through auction websites like eBay or Craigslist are partially used multi-day tickets, which allow visiting several parks in one day."
"Хотя это и очень распространенный тип сделки, он запрещен правилами Disney: билеты не подлежат передаче другому лицу.","While this is a very common type of deal, it is prohibited by Disney's rules: tickets are not transferable to another person.","While this is a very common type of transaction, it is prohibited by Disney's rules: tickets are non-transferable."
Любой кемпинг ниже края Большого каньона требует разрешения на посещение отдаленных районов штата.,Any camping below the rim of the Grand Canyon requires a backcountry permit.,Any campground below the rim of the Grand Canyon requires a permit to visit backcountry areas of the state.
"Для защиты каньона разрешения ограничены и становятся доступны в 1-й день месяца, за четыре месяца до месяца старта.","Permits are limited and become available on the first day of the month, four months prior to the start month.","To protect the canyon, permits are limited and become available on the 1st day of the month, four months prior to the start month."
"Так, разрешение на посещение отдаленных территорий с начальной датой в любой день мая становится доступно 1 января.","Yes, permission to visit remote areas with a start date on any day in May becomes available on January 1st.","Thus, permission to visit remote areas with an initial date of any day in May becomes available on January 1."
"Места в самых популярных районах, таких как Bright Angtl Campground рядом с Phantom Ranch, обычно заполняются в результате запросов, полученных в первый день, когда они открываются для бронирования.","Places in the most popular areas, such as Bright Angel Campground near Phantom Ranch, are usually filled due to requests received on the first day they open for reservations.","Spots in the most popular areas, such as Bright Angel Campground near Phantom Ranch, are usually filled by requests received on the first day they open for reservations."
"Существует ограниченное количество разрешений, отведённых для посетителей без предварительной записи, которые доступны в порядке живой очереди.","There are a limited number of tickets available for walk-up visitors, on a first-come, first-served basis.","There is a limited number of permits allocated for visitors without prior appointments, which are available on a first-come, first-served basis."
"Посетить Южную Африку на автомобиле — это прекрасный способ увидеть всю красоту этой местности, а также попасть в уголки за пределами традиционных туристических маршрутов.","Visiting South Africa by car is a wonderful way to see all the beauty of this area, as well as to reach corners beyond the traditional tourist routes.","Visiting South Africa by car is a great way to see all the beauty of this area, as well as get to the corners beyond the traditional tourist routes."
"Это можно сделать на обычном автомобиле с тщательным планированием, но настоятельно рекомендуется полноприводный автомобиль, так как до многих мест можно добраться только на машине с полным приводом и высокой колёсной базой.","This can be done in a normal car with careful planning, but a 4x4 is strongly recommended as many places can only be reached by a 4x4 with a high ground clearance.","This can be done in a regular car with careful planning, but a four-wheel drive vehicle is highly recommended, as many places are only accessible by a car with all-wheel drive and a high ground clearance."
"Планируя имейте ввиду, что хотя Южная Африка стабильна, не все соседние страны такие.","When planning, keep in mind that although South Africa is stable, not all neighboring countries are.","When planning, bear in mind that while South Africa is stable, not all neighbouring countries are."
Требования к визам и их стоимость разные во всех странах и зависят от вашей страны.,Visa requirements and costs vary across countries and depend on your country of origin.,Visa requirements and costs vary by country and depend on your country.
"Каждая страна также имеет особые законы, предписывающие какие предметы должны находится в машине на случай экстренной ситуации.",Each country also has special laws stating what items must be in the car in case of an emergency.,Each country also has special laws prescribing which items must be in the car in case of an emergency.
Виктория-Фолс — это город в западной части Зимбабве вдоль границы с замбийским Ливингстоном и рядом с Ботсваной.,"Victoria Falls is a town in western Zimbabwe, along the border with Zambia's Livingstone and near Botswana.",Victoria Falls is a town in the western part of Zimbabwe along the border with Zambian Livingstone and near Botswana.
"Город расположен непосредственно у водопада, который является главной достопримечательностью, но это популярное туристическое место предлагает множество возможностей для длительного пребывания как искателям приключений, так и созерцателям.","The city is located right by the waterfall, which is the main attraction, but this popular tourist destination offers numerous opportunities for an extended stay for both adventurers and contemplators.","The city is located right at the falls, which is the main attraction, but this popular tourist destination offers a multitude of options for extended stays for adventure seekers and sightseers alike."
"В сезон дождей (с ноября по март) объём воды будет выше, а водопады — более эффектными.","During the rainy season (from November to March), the volume of water will be higher, and the waterfalls will be more spectacular.",During the rainy season (November to March) the water volume will be higher and the waterfalls more impressive.
"Вы однозначно промокнёте, если пройдётесь по мосту или тропинкам, проложенным около водопада.",You will definitely get wet if you walk across the bridge or paths near the waterfall.,You will definitely get wet if you walk across the bridge or along the paths laid near the waterfall.
"С другой стороны, именно по причине настолько большого объёма воды ваш обзор на сам водопад будет нечётким из-за всей этой воды!","On the other hand, because of the huge volume of water, your view of the waterfall itself will be blurred by all that water!","On the other hand, precisely because of such a large volume of water, your view of the waterfall itself will be blurry because of all this water!"
"Вероятно, могила Тутанхамона (KV62). KV62, может быть названа самой известной из гробниц в Долине. В 1922 году Говард Картер нашел тут почти нетронутую королевскую усыпальницу, в которой покоился молодой король.",Probably the tomb of Tutankhamun (KV62). KV62 is probably the most famous tomb in the Valley. In 1922 Howard Carter discovered the almost intact royal tomb of the young king.,"Probably, the tomb of Tutankhamun (KV62). KV62 can be called the most famous of the tombs in the Valley. In 1922, Howard Carter discovered here an almost untouched royal burial chamber where the young king rested."
"Однако по сравнению с другими королевскими могилами, могила Тутанхамона едва ли заслуживает посещения, так как она намного меньше и имеет незначительные украшения.","However, compared to other royal tombs, Tutankhamun's tomb is hardly worth visiting, as it is much smaller and has minimal decoration.","However, compared to other royal tombs, the tomb of Tutankhamun hardly merits a visit, as it is much smaller and has insignificant decorations."
"Любой желающий увидеть доказательства повреждения мумии, нанесенные при попытке вытащить ее из гроба, будет разочарован, так как видны только ее голова и плечи.","Anyone wanting to see the damage to the mummy caused by the attempt to remove it from the coffin will be disappointed, as only its head and shoulders are visible.","Anyone wishing to see evidence of damage to the mummy inflicted during an attempt to remove it from the sarcophagus will be disappointed, as only its head and shoulders are visible."
"Баснословные богатства гробницы больше в ней не находятся, а были перемещены в Египетский музей в Каире.","The fabulous treasures of the tomb are no longer in the tomb, but have been moved to the Egyptian Museum in Cairo.","The fabulous riches of the tomb are no longer found there, but have been moved to the Egyptian Museum in Cairo."
"Посетителям, у которых не очень много времени, лучше провести его где-нибудь еще.",Visitors who don't have much time would be better off spending it somewhere else.,Visitors with limited time should spend it elsewhere.
"Пном Кром, расположенный в 12 км к юго-западу от Сиемреапа. Этот храм на вершине холма был построен в конце IX века, во времена правления короля Яшовармана.","Phnom Krom, located 12 km southwest of Siem Reap. This hilltop temple was built in the late 9th century, during the reign of King Yasovarman.","Phnom Krom, located 12 km southwest of Siem Reap. This temple on a hill was built at the end of the 9th century, during the reign of King Yashovarman."
На холм стоит забраться ради мрачной атмосферы храма и вида на озеро Тонлесап.,It's worth climbing the hill for the gloomy atmosphere of the temple and the view of Tonle Sap Lake.,Climbing the hill is worth it for the temple's gloomy atmosphere and the view of Tonle Sap Lake.
Посещение этого места можно удобно совместить с лодочной прогулкой по озеру.,Visiting this place can be conveniently combined with a boat trip on the lake.,Visiting this place can be conveniently combined with a boat ride on the lake.
"Для входа в храм требуется специальный пропуск ""Angkor Pass"", поэтому, когда поедете на озеро Тонлесап, не забудьте взять с собой паспорт.","To enter the temple, you need a special pass called ""Angkor Pass"", so when you go to the Tonle Sap Lake, don't forget to bring your passport.","To enter the temple, a special pass ""Angkor Pass"" is required, so when you go to Tonle Sap Lake, do not forget to bring your passport."
"Иерусалим — это столица и самый крупный город Израиля, однако большинство других государств и ООН не признают его израильской столицей.","Jerusalem is the capital and largest city of Israel, but most other countries and the United Nations do not recognize it as Israel's capital.","Jerusalem is the capital and largest city of Israel, although most other countries and the UN do not recognize it as the Israeli capital."
"Древний город в Иудейских горах имеет удивительную историю, которая охватывает тысячи лет.",The ancient city in the Judean Hills has an amazing history that spans thousands of years.,The ancient city in the Judean Hills has an amazing history that spans thousands of years.
"Этот город священен для трёх монотеистических религий — иудаизма, христианства и ислама, и служит духовным, религиозным и культурным центром.","This city is sacred to the three monotheistic religions of Judaism, Christianity and Islam, and serves as a spiritual, religious and cultural center.","This city is holy to three monotheistic religions - Judaism, Christianity, and Islam, and serves as a spiritual, religious, and cultural center."
"В связи с религиозным значением города и, в частности, многочисленными достопримечательностями Старого города, Иерусалим является одним из главных туристических пунктов назначений в Израиле.","Due to the city's religious significance and, in particular, its numerous tourist attractions in the Old City, Jerusalem is one of the main tourist destinations in Israel.","Due to the religious significance of the city and, in particular, the numerous attractions of the Old City, Jerusalem is one of the main tourist destinations in Israel."
"В Иерусалиме есть много исторических, археологических и культурных мест наряду с оживленными и многолюдными торговыми центрами, кафе и ресторанами.","In Jerusalem, there are many historical, archaeological, and cultural sites along with bustling and crowded shopping centers, cafes, and restaurants.","Jerusalem has many historical, archaeological and cultural sites alongside bustling and crowded shopping centres, cafes and restaurants."
"Эквадор требует, чтобы граждане Кубы перед прибытием в Эквадор через международные аэропорты или пограничные пункты пропуска получили пригласительное письмо.",Ecuador requires that Cuban citizens receive an invitation letter before arriving in Ecuador through international airports or border crossings.,Ecuador requires that Cuban citizens obtain an invitation letter before arriving in Ecuador through international airports or border control points.
Это письмо должно быть легализовано Министерством иностранных дел Эквадора и соответствовать определённым требованиям.,This letter must be legalized by the Ministry of Foreign Affairs of Ecuador and meet certain requirements.,This letter must be legalized by the Ministry of Foreign Affairs of Ecuador and meet certain requirements.
Эти требования должны обеспечить упорядоченный миграционный поток между двумя государствами.,These requirements should ensure an orderly migration flow between the two countries.,These requirements should ensure an orderly migration flow between the two states.
"Граждане Кубы, являющиеся владельцами американской грин-карты, должны посетить консульство Эквадора для получения освобождения от этого требования.",Citizens of Cuba who are owners of an American green card must visit the Ecuadorian consulate to obtain an exemption from this requirement.,Cuban citizens who are U.S. green card holders must visit the Ecuadorian consulate to obtain exemption from this requirement.
"Ваш паспорт должен быть действителен как минимум в течение 6 месяцев после даты окончания поездки. Необходимо предоставить билет ""туда-обратно"" или билет для проезда в следующий пункт назначения для того, чтобы подтвердить длительность вашего пребывания.",Your passport must be valid for at least 6 months beyond the date of your trip. You must provide a round-trip ticket or a ticket to your next destination to prove the length of your stay.,Your passport must be valid for at least 6 months after the end date of the trip. You need to provide a round-trip ticket or a ticket for travel to the next destination in order to confirm the duration of your stay.
"Экскурсии для больших групп обходятся дешевле, поэтому, если вы один или вдвоем с другом, познакомьтесь с другими людьми и объединитесь в группу из четырех-шести человек, чтобы цена билета на человека была меньше.","Group tours are cheaper, so if you're travelling alone or with a friend, meet other people and join a group of four to six people to pay less per person.","Excursions for large groups are cheaper, so if you are alone or with a friend, meet other people and form a group of four to six people to reduce the cost per person."
